image_sha256,frac,mean_pct,sd_pct,n_crops,dataset,sequence_id
038420d7af9e1debc0ea1284492f884eabd7236268b4dc0bfb1cd053867e721e,0.5,4.3975,1.2445179789782066,4,c2c12,c2c12_090303_exp1_F0012_Data
03a1789cc85799bbd9ce7ec59f5ea56b1babcf7312391bd34b4d890d39cf33d9,0.25,1.2850000000000001,1.1406577050105786,4,c2c12,c2c12_090318_exp1_F0003_Data
03a1789cc85799bbd9ce7ec59f5ea56b1babcf7312391bd34b4d890d39cf33d9,0.5,5.1850000000000005,1.494199897380981,4,c2c12,c2c12_090318_exp1_F0003_Data
03b0707146ed8a6eac22e617112986fc01d80b5e6f2954ca3c4b49a3eceffe8b,0.25,36.192499999999995,11.289172910359731,4,c2c12,c2c12_090325_exp1_F0011_Data
03b0707146ed8a6eac22e617112986fc01d80b5e6f2954ca3c4b49a3eceffe8b,0.5,36.105000000000004,4.46877686472111,4,c2c12,c2c12_090325_exp1_F0011_Data
0411d9e73aa6da6ca543c8f2daaf20878b511cc7337b44a206c070bfcfbe4fbe,0.25,16.3425,5.385433284951794,4,c2c12,c2c12_090325_exp1_F0016_Data
0411d9e73aa6da6ca543c8f2daaf20878b511cc7337b44a206c070bfcfbe4fbe,0.5,18.25,2.3250806437627056,4,c2c12,c2c12_090325_exp1_F0016_Data
04124921d9a02f3a979820e70c2782e8c556ce645aacfe21df8cf8da7bc6123f,0.25,36.59,5.475679562087858,4,c2c12,c2c12_090325_exp1_F0011_Data
04124921d9a02f3a979820e70c2782e8c556ce645aacfe21df8cf8da7bc6123f,0.5,43.28,1.5846135175493115,4,c2c12,c2c12_090325_exp1_F0011_Data
041bc5f41516fb523d893960d30ba648d7babb96de0252d34387fdd3f78013e6,0.25,27.28,5.2031208583567095,4,c2c12,c2c12_090303_exp1_F0014_Data
041bc5f41516fb523d893960d30ba648d7babb96de0252d34387fdd3f78013e6,0.5,23.08,2.589684665488573,4,c2c12,c2c12_090303_exp1_F0014_Data
044cd40acff09fdc1ab11213e447e508411492249c2a268404ba8ba45367599e,0.25,8.6225,2.9359992620344206,4,c2c12,c2c12_090325_exp1_F0005_Data
044cd40acff09fdc1ab11213e447e508411492249c2a268404ba8ba45367599e,0.5,14.475,1.5386682553429112,4,c2c12,c2c12_090325_exp1_F0005_Data
04877bad13e8dcd6e37b08ef2033db4d070ec82cd6dfd4ae7a143f30b8237f01,0.25,24.0075,4.5136635157412135,4,c2c12,c2c12_090318_exp1_F0018_Data
04877bad13e8dcd6e37b08ef2033db4d070ec82cd6dfd4ae7a143f30b8237f01,0.5,34.6475,6.315717826713499,4,c2c12,c2c12_090318_exp1_F0018_Data
048d37580b02a686660dd4a748c819485e019637f9eb5907ec631c8956a408a5,0.25,6.2675,3.4079649352656203,4,c2c12,c2c12_090318_exp1_F0007_Data
048d37580b02a686660dd4a748c819485e019637f9eb5907ec631c8956a408a5,0.5,6.805,1.9811865131784032,4,c2c12,c2c12_090318_exp1_F0007_Data
048e210961fdc4eaa9370342094b3e0bb155093bb27af2e9e7060bf1e1e5ce9f,0.25,18.9275,10.526865234563738,4,c2c12,c2c12_090325_exp1_F0005_Data
048e210961fdc4eaa9370342094b3e0bb155093bb27af2e9e7060bf1e1e5ce9f,0.5,17.925,5.925259487988691,4,c2c12,c2c12_090325_exp1_F0005_Data
0584ae9ddfc0c6c2fceae1946ade0fd57fe93f12e53fabac9266e9075bff98f6,0.25,6.6625000000000005,5.133201567572945,4,c2c12,c2c12_090303_exp1_F0007_Data
0584ae9ddfc0c6c2fceae1946ade0fd57fe93f12e53fabac9266e9075bff98f6,0.5,7.9525,1.9205099149271092,4,c2c12,c2c12_090303_exp1_F0007_Data
05e61c66e6b717593106ab4968cd69be7c06f76755efd0365da8f45896e2b64a,0.25,8.705,3.992672455052296,4,c2c12,c2c12_090303_exp1_F0016_Data
05e61c66e6b717593106ab4968cd69be7c06f76755efd0365da8f45896e2b64a,0.5,9.7975,2.1414072475827663,4,c2c12,c2c12_090303_exp1_F0016_Data
05f985e2f6104b773b54519d0861a65831bd222a6e33e8cc905571706d02ee8b,0.25,11.7125,8.584836923320093,4,c2c12,c2c12_090303_exp1_F0016_Data
05f985e2f6104b773b54519d0861a65831bd222a6e33e8cc905571706d02ee8b,0.5,12.675,1.9978238160558603,4,c2c12,c2c12_090303_exp1_F0016_Data
060e7f9958aca91aa9aa14c34d85e3581e397417bfeacff1c92642a070599264,0.25,19.505,11.212105065508439,4,c2c12,c2c12_090325_exp1_F0016_Data
060e7f9958aca91aa9aa14c34d85e3581e397417bfeacff1c92642a070599264,0.5,20.884999999999998,5.739817070255811,4,c2c12,c2c12_090325_exp1_F0016_Data
06105c6f43f3c25a53b937220c5a33f6d63f074171195617e771e6f4ea8b55f4,0.25,12.434999999999999,9.052798830564317,4,c2c12,c2c12_090325_exp1_F0018_Data
06105c6f43f3c25a53b937220c5a33f6d63f074171195617e771e6f4ea8b55f4,0.5,19.6375,3.778115712009539,4,c2c12,c2c12_090325_exp1_F0018_Data
